;classement;titre;annee;duree;categorie;realisateur
89;90.;Quarantine;(2008);89 min;"
Horror, Sci-Fi, Thriller            ";John Erick Dowdle
90;91.;Nick and Norah's Infinite Playlist;(2008);90 min;"
Comedy, Drama, Music            ";Peter Sollett
91;92.;Zack and Miri Make a Porno;(2008);101 min;"
Comedy, Romance            ";Kevin Smith
92;93.;The Eye;(2008);98 min;"
Horror, Mystery            ";David Moreau
93;94.;Le transporteur 3;(2008);104 min;"
Action, Adventure, Crime            ";Olivier Megaton
94;95.;Leatherheads;(2008);114 min;"
Comedy, Drama, Romance            ";George Clooney
95;96.;Mirrors;(I) (2008);110 min;"
Horror, Mystery            ";Alexandre Aja
96;97.;Space Chimps;(2008);81 min;"
Animation, Adventure, Comedy            ";Kirk De Micco
97;98.;The Bank Job;(2008);111 min;"
Crime, Drama, Romance            ";Roger Donaldson
98;99.;Untraceable;(2008);101 min;"
Crime, Mystery, Thriller            ";Gregory Hoblit
99;100.;Defiance;(I) (2008);137 min;"
Action, Drama, History            ";Edward Zwick
