;classement;titre;annee;duree;categorie;realisateur
43;44.;Halloween;(2007);109 min;"
Horror            ";Rob Zombie
44;45.;Why Did I Get Married?;(2007);113 min;"
Comedy, Drama            ";Tyler Perry
45;46.;TMNT- les tortues ninja;(2007);87 min;"
Animation, Action, Adventure            ";Kevin Munroe
46;47.;P.S. I Love You;(2007);126 min;"
Drama, Romance            ";Richard LaGravenese
47;48.;3:10 to Yuma;(2007);122 min;"
Adventure, Crime, Drama            ";James Mangold
48;49.;Sweeney Todd: The Demon Barber of Fleet Street;(2007);116 min;"
Drama, Horror, Musical            ";Tim Burton
49;50.;Atonement;(2007);123 min;"
Drama, Mystery, Romance            ";Joe Wright
50;51.;Resident Evil: Extinction;(2007);94 min;"
Action, Horror, Sci-Fi            ";Russell Mulcahy
51;52.;Music and Lyrics;(2007);96 min;"
Comedy, Music, Romance            ";Marc Lawrence
52;53.;Are We Done Yet?;(2007);92 min;"
Comedy, Drama, Family            ";Steve Carr
53;54.;This Christmas;(2007);117 min;"
Comedy, Drama, Romance            ";Preston A. Whitmore II
54;55.;Michael Clayton;(2007);119 min;"
Crime, Drama, Thriller            ";Tony Gilroy
55;56.;Premonition;(I) (2007);96 min;"
Drama, Mystery, Thriller            ";Mennan Yapo
56;57.;Dan in Real Life;(2007);98 min;"
Comedy, Drama, Romance            ";Peter Hedges
57;58.;The Kingdom;(2007);110 min;"
Action, Drama, Thriller            ";Peter Berg
58;59.;Shooter;(I) (2007);124 min;"
Action, Crime, Drama            ";Antoine Fuqua
59;60.;License to Wed;(2007);91 min;"
Comedy, Romance            ";Ken Kwapis
60;61.;Underdog;(2007);84 min;"
Action, Adventure, Comedy            ";Frederik Du Chau
61;62.;No Reservations;(2007);104 min;"
Comedy, Drama, Romance            ";Scott Hicks
62;63.;Because I Said So;(2007);102 min;"
Comedy, Romance            ";Michael Lehmann
63;64.;Aliens vs. Predator: Requiem;(2007);94 min;"
Action, Horror, Sci-Fi            ";Colin Strause
64;65.;Le dragon des mers - La dernière légende;(2007);112 min;"
Adventure, Family, Fantasy            ";Jay Russell
65;66.;There Will Be Blood;(2007);158 min;"
Drama, History            ";Paul Thomas Anderson
66;67.;Epic Movie;(2007);86 min;"
Adventure, Comedy            ";Jason Friedberg
67;68.;Hitman;(I) (2007);100 min;"
Action, Crime, Drama            ";Xavier Gens
68;69.;30 Days of Night;(2007);113 min;"
Horror, Thriller            ";David Slade
69;70.;Fracture;(2007);113 min;"
Crime, Drama, Mystery            ";Gregory Hoblit
70;71.;Stardust;(2007);127 min;"
Adventure, Family, Fantasy            ";Matthew Vaughn
71;72.;The Brave One;(2007);122 min;"
Crime, Drama, Thriller            ";Neil Jordan
72;73.;The Heartbreak Kid;(2007);116 min;"
Comedy, Romance            ";Bobby Farrelly
73;74.;Écrire pour exister;(2007);123 min;"
Biography, Crime, Drama            ";Richard LaGravenese
74;75.;The Messengers;(2007);90 min;"
Horror, Mystery, Thriller            ";Danny Pang
75;76.;The Number 23;(2007);101 min;"
Mystery, Thriller            ";Joel Schumacher
76;77.;Good Luck Chuck;(2007);96 min;"
Comedy, Romance            ";Mark Helfrich
77;78.;Zodiac;(2007);157 min;"
Crime, Drama, History            ";David Fincher
78;79.;Breach;(2007);110 min;"
Biography, Crime, Drama            ";Billy Ray
79;80.;Balls of Fury;(2007);90 min;"
Comedy, Crime, Sport            ";Robert Ben Garant
80;81.;Mr. Bean's Holiday;(2007);90 min;"
Comedy, Family            ";Steve Bendelack
81;82.;Mr. Magorium's Wonder Emporium;(2007);93 min;"
Comedy, Family, Fantasy            ";Zach Helm
82;83.;Earth;(2007);90 min;"
Documentary            ";Alastair Fothergill
83;84.;August Rush;(2007);114 min;"
Drama, Music            ";Kirsten Sheridan
84;85.;Daddy's Little Girls;(2007);100 min;"
Drama, Romance            ";Tyler Perry
85;86.;The Great Debaters;(2007);126 min;"
Biography, Drama, Romance            ";Denzel Washington
86;87.;28 Weeks Later;(2007);100 min;"
Drama, Horror, Sci-Fi            ";Juan Carlos Fresnadillo
87;88.;We Own the Night;(2007);117 min;"
Crime, Drama, Thriller            ";James Gray
88;89.;Mr. Brooks;(2007);120 min;"
Crime, Drama, Thriller            ";Bruce A. Evans
89;90.;Hannibal Rising;(2007);121 min;"
Crime, Drama, Thriller            ";Peter Webber
90;91.;The Nanny Diaries;(2007);105 min;"
Comedy, Drama, Romance            ";Shari Springer Berman
91;92.;Mr. Woodcock;(2007);87 min;"
Comedy, Romance, Sport            ";Craig Gillespie
92;93.;The Mist;(2007);126 min;"
Horror            ";Frank Darabont
93;94.;Nancy Drew;(2007);99 min;"
Comedy, Crime, Family            ";Andrew Fleming
94;95.;The Reaping;(2007);99 min;"
Horror, Thriller            ";Stephen Hopkins
95;96.;Grindhouse;(2007);191 min;"
Action, Horror, Thriller            ";Robert Rodriguez
96;97.;Sicko;(2007);123 min;"
Documentary, Drama            ";Michael Moore
97;98.;Across the Universe;(2007);133 min;"
Drama, Fantasy, Musical            ";Julie Taymor
98;99.;Perfect Stranger;(2007);109 min;"
Crime, Mystery, Thriller            ";James Foley
99;100.;Hot Fuzz;(2007);116 min;"
Action, Comedy, Mystery            ";Edgar Wright
