;classement;titre;annee;duree;categorie;realisateur
45;46.;Let's Be Cops;(2014);104 min;"
Comedy            ";Luke Greenfield
46;47.;The Monuments Men;(2014);118 min;"
Drama, War            ";George Clooney
47;48.;Paddington;(2014);95 min;"
Comedy, Family, Fantasy            ";Paul King
48;49.;Hercules;(I) (2014);98 min;"
Action, Adventure            ";Brett Ratner
49;50.;American Nightmare 2: Anarchy;(2014);103 min;"
Action, Horror, Sci-Fi            ";James DeMonaco
50;51.;Alexander and the Terrible, Horrible, No Good, Very Bad Day;(2014);81 min;"
Comedy, Family            ";Miguel Arteta
51;52.;Think Like a Man Too;(2014);106 min;"
Comedy, Romance            ";Tim Story
52;53.;Exodus: Gods and Kings;(2014);150 min;"
Action, Adventure, Drama            ";Ridley Scott
53;54.;Opération Casse-noisette;(I) (2014);85 min;"
Animation, Adventure, Comedy            ";Peter Lepeniotis
54;55.;God's Not Dead;(2014);113 min;"
Drama            ";Harold Cronk
55;56.;Son of God;(2014);138 min;"
Biography, Drama, History            ";Christopher Spencer
56;57.;Planes: Fire & Rescue;(2014);83 min;"
Animation, Adventure, Comedy            ";Roberts Gannaway
57;58.;The Grand Budapest Hotel;(2014);99 min;"
Adventure, Comedy, Drama            ";Wes Anderson
58;59.;RoboCop;(2014);117 min;"
Action, Crime, Sci-Fi            ";José Padilha
59;60.;Dracula Untold;(2014);92 min;"
Action, Drama, Fantasy            ";Gary Shore
60;61.;Horrible Bosses 2;(2014);108 min;"
Comedy, Crime            ";Sean Anders
61;62.;The Hundred-Foot Journey;(2014);122 min;"
Comedy, Drama            ";Lasse Hallström
62;63.;No Good Deed;(I) (2014);84 min;"
Crime, Thriller            ";Sam Miller
63;64.;Selma;(2014);128 min;"
Biography, Drama, History            ";Ava DuVernay
64;65.;Muppets Most Wanted;(2014);107 min;"
Adventure, Comedy, Crime            ";James Bobin
65;66.;Ouija;(II) (2014);89 min;"
Horror, Thriller            ";Stiles White
66;67.;The Boxtrolls;(2014);96 min;"
Animation, Adventure, Comedy            ";Graham Annable
67;68.;Jack Ryan: Shadow Recruit;(2014);105 min;"
Action, Drama, Thriller            ";Kenneth Branagh
68;69.;If I Stay;(2014);107 min;"
Drama, Fantasy, Music            ";R.J. Cutler
69;70.;The Book of Life;(2014);95 min;"
Animation, Adventure, Comedy            ";Jorge R. Gutiérrez
70;71.;About Last Night;(2014);100 min;"
Comedy, Romance            ";Steve Pink
71;72.;Into the Storm;(2014);89 min;"
Action, Thriller            ";Steven Quale
72;73.;The Judge;(2014);141 min;"
Crime, Drama            ";David Dobkin
73;74.;Jersey Boys;(2014);134 min;"
Biography, Drama, Music            ";Clint Eastwood
74;75.;Blended;(2014);117 min;"
Comedy, Romance            ";Frank Coraci
75;76.;The Giver;(2014);97 min;"
Drama, Romance, Sci-Fi            ";Phillip Noyce
76;77.;St. Vincent;(2014);102 min;"
Comedy, Drama            ";Theodore Melfi
77;78.;Need for Speed;(2014);132 min;"
Action, Crime, Drama            ";Scott Waugh
78;79.;John Wick;(2014);101 min;"
Action, Crime, Thriller            ";Chad Stahelski
79;80.;A Million Ways to Die in the West;(2014);116 min;"
Comedy, Romance, Western            ";Seth MacFarlane
80;81.;Birdman or (The Unexpected Virtue of Ignorance);(2014);119 min;"
Comedy, Drama, Romance            ";Alejandro G. Iñárritu
81;82.;Dolphin Tale 2;(2014);107 min;"
Drama, Family            ";Charles Martin Smith
82;83.;The Expendables 3;(2014);126 min;"
Action, Adventure, Thriller            ";Patrick Hughes
83;84.;Earth to Echo;(2014);91 min;"
Adventure, Family, Sci-Fi            ";Dave Green
84;85.;Sex Tape;(2014);94 min;"
Comedy, Romance            ";Jake Kasdan
85;86.;Wild;(I) (2014);115 min;"
Adventure, Biography, Drama            ";Jean-Marc Vallée
86;87.;Million Dollar Arm;(2014);124 min;"
Biography, Drama, Sport            ";Craig Gillespie
87;88.;The Theory of Everything;(2014);123 min;"
Biography, Drama, Romance            ";James Marsh
88;89.;This Is Where I Leave You;(2014);103 min;"
Comedy, Drama            ";Shawn Levy
89;90.;The Gambler;(III) (2014);111 min;"
Crime, Drama, Thriller            ";Rupert Wyatt
90;91.;Paranormal Activity: The Marked Ones;(2014);84 min;"
Horror, Thriller            ";Christopher Landon
91;92.;Nightcrawler;(2014);118 min;"
Crime, Drama, Thriller            ";Dan Gilroy
92;93.;Unfriended;(2014);83 min;"
Horror            ";Levan Gabriadze
93;94.;Chef;(2014);114 min;"
Comedy, Drama            ";Jon Favreau
94;95.;3 Days to Kill;(2014);117 min;"
Action, Drama, Thriller            ";McG
95;96.;Deliver Us from Evil;(2014);118 min;"
Horror, Mystery, Thriller            ";Scott Derrickson
96;97.;Get on Up;(2014);139 min;"
Biography, Drama, Music            ";Tate Taylor
97;98.;When the Game Stands Tall;(2014);115 min;"
Drama, Family, Sport            ";Thomas Carter
98;99.;Draft Day;(I) (2014);110 min;"
Drama, Sport            ";Ivan Reitman
99;100.;The Best of Me;(2014);118 min;"
Drama, Romance            ";Michael Hoffman
