|character|text|type|character_clean|gender|principal_character
10||"BUMPY (CONT'D)
Where's the pride of ownership here?
Where's the personal service? Does
anybody work here?
Inside, the emporium is vast, with aisles that seem to
stretch off into infinity. The TVs give way to a display
window full of Japanese stereo componentry.
BUMPY
What right do they have cutting out the
suppliers, pushing all the middlemen out,
buying direct from the manufacturer -
Sony this, Toshiba that, all them Chinks -
putting Americans out of work?
He's not really asking Frank, so Frank doesn't answer.
BUMPY
What am I supposed to do with a place
like this, Frank? Who am I supposed to
ask for, the assistant manager?
(pause)
This is the problem. This is the way it
is now: You can't find the heart of
anything to stick the knife.
Bumpy stops before a display of cameras and stares in.
They're all pointed at him as a pain grips his chest and he
sinks to his knees. Frank kneels down.
FRANK
What is it?
Bumpy seems unable to speak, looks to Frank confused.
FRANK
Somebody call an ambulance!
But the store suddenly seems empty. Frank yells into the
emporium but can't be heard above the Muzak and the cash
registers ringing up sales Bumpy will never see a piece of.
Looking up at Frank, Bumpy manages weakly -
BUMPY
Forget it, Frank. No one's in charge."|unknown|||
11||5   EXT. BUMPY'S APARTMENT - DAY                                        5|location|||
12||"Limousines from the funeral disgorge mourners: family,
friends, celebrities, politicians. Cops on horseback move
through the enormous crowd that has gathered to watch. FBI
agents in cars snap pictures with long lenses of Italian
mobsters like Albert Tosca.
(CONT)
3."|unknown|||
13||5   CONTINUED:                                                         5|location|||
14||"REPORTER
- whose passing has brought together a
who's who of mourners on this chilly
afternoon. The Governor has come down.
The mayor of New York - its Chief of
Police and Commissioner - sports and
entertainment luminaries -
A white Bentley pulls up, disgorging Jackie Fox - the
original Superfly - and his entourage. With his trademark
tinted Gucci glasses on, he happily poses for anyone with a
camera - including the Feds - before going inside."|unknown|||
15||6   INT. BUMPY'S APARTMENT - LATER                                     6|location|||
16||"The report continues on a TV no one's really watching here:
a March of Time-like history of Bumpy Johnson, famed Harlem
gangster, Robin Hood and killer.
REPORTER ON TV
He was a Great Man, according to the
eulogies. A giving man. A man of the
people. No one chose to include in their
remembrances the word most often
associated with Ellsworth Bumpy Johnson:
Gangster.
Sitting off by himself in Bumpy's elegant garden apartment,
heretofore his private sanctuary, Frank surveys the mourners
circling the place like vultures:
Tango Black, a huge brute, scavenging the catered food and
tended bar ... Jackie Fox, surrounded by his ever-present
coterie of sycophants ... Albert Tosca, an elegant Italian
capo, and an underling, Rossi, at the bar.
TOSCA
White wine, please.
A white man who looks like a banker - and is - sits down
next to Frank.
BANKER
How you doing, Frank?
FRANK
All right.
BANKER
What a loss.
(Frank nods)
How are you otherwise?   Things okay
financially?
(CONT)
4."|unknown|||
17||6   CONTINUED:                                                        6|location|||
18||"Frank doesn't say. It feels unseemly to him to be talking
about money here. He watches Tango carelessly set a watery
glass of ice on an antique inlaid chess table.
BANKER
Bumpy set something up for you?
Frank excuses himself without an answer, crosses to where
Tango left the glass, and sets it on a coaster.
TANGO
Hey, Frank, get me an ashtray while
you're at it.
Bumpy's German shepherd watches as Frank reaches into his
jacket, revealing a gun nestled in its shoulder holster. He
takes out a handkerchief, wipes the condensation dry, opens
a drawer and removes an ashtray. He holds it out to Tango -
who isn't sure it's not a dare and decides to wander off.
CHARLIE
I know you're hurting, Frank.    So am I.
Frank sits back down with Charlie Williams, an older dope
man.
CHARLIE
You going to be all right?
FRANK
Yeah.
CHARLIE
I'm sure Bumpy never told you, but he
made me promise, anything ever happened
to him, I'd make sure you didn't go
without.
FRANK
I'll be fine, Charlie. Half the people
here owed Bumpy money when he died. A
lot of money. If they think I'm going
to forget to collect, they're wrong.
CHARLIE
That's the spirit. Go get them.
On the TV, over archive film and photographs of crime
figures from the 1940's and `50's, the opinion is offered
that Bumpy's death ""marks the end of an era ...""
5."|unknown|||
19||A7   INT. CLASSROOM - NIGHT                                           A7|location|||
20||"A figure, his back to us, walks slowly toward a blackboard
like a man to the gallows.
RICHIE V.O.
I live in fear of hearing my name
called.
PROFESSOR
Mr. Roberts, Give us U.S. vs. Meade -
RICHIE V.O.
Of walking up there, turning around,
knowing every one of them knows more
than I do -
PROFESSOR
Subject, issues, what the determination
was and what it means to us today.
Richie Roberts turns and faces his classmates, all of them a
decade or more younger than him."|unknown|||
21||7    EXT. MOTEL - NEW JERSEY - DAY                                        7|location|||
22||"Harlem's jagged teeth skyline juts across the river at the
other end of the George Washington Bridge. On this side - a
sledgehammer gripped in Richie's fist, on the move, suddenly
fills the frame.
RICHIE
You know the Number 1 fear of most
people isn't dying; it's public speaking.
They get physically ill. They throw up.
RIVERA
And that's what you want to do for a
living.
RICHIE
I don't like being like that.     I want to
beat it.
Armed with the sledgehammer, Richie and his partner - Javy
Rivera - come past a seedy motel office where a TV shows
another report about Bumpy Johnson.
Legend:   New Jersey
A motel clerk looks up, glimpses the sledgehammer -
(CONT)
6."|unknown|||
23||7   CONTINUED:                                                         7|location|||
24||"CLERK
Hey -
Rivera flashes a New Jersey detective's shield without
breaking stride. Takes a subpoena out of another pocket.
RIVERA
Who's going to do this?
RICHIE
He knows me, he'll take it from me.
I've known him since high school.
RIVERA
Just throw it in, he doesn't take it.
That's good service.
They reach a particular motel room door. Rivera knocks.
The door opens the length of a chain, revealing a wise guy
in an undershirt, who, when he sees the subpoena, start to
close the door -
RIVERA
Throw it -
As Richie flings the subpoena in, the door slams on his
hand. He wails in agony, tries to shoulder it open, hears
the dead bolt lock on the other side, feels Campizi's teeth
bite into his fingers, watches his blood run down the frame.
RIVERA
Down -
Richie hangs down from his hand as the sledgehammer swings
past his head shattering the door -"|unknown|||
25||8   INT/EXT. MOTEL ROOM - CONTINUOUS                                   8|location|||
26||"The door rips from its hinges and the detectives crash in.
The wise guy - Campizi - hurries for the bathroom, slams the
door. This one's hollow and the detectives more easily
break through it -
Campizi tries to climb out the bathroom window. Richie
grabs him, throws him into the shower stall, taking the
plastic curtain down with them, smearing it with blood as
Richie beats at him before Rivera can pull him off."|unknown|||
27||9   INT. AMBULANCE - MOVING - DAY                                      9|location|||
28||"A male paramedic attends to Campizi's bloodied face while a
female paramedic cleans Richie's bloodied hand.
(CONT)
7."|unknown|||
29||9    CONTINUED:                                                        9|location|||
30||"CAMPIZI
I swear to God, Richie, I didn't know it
was you. I would never slam a door on
your hand. Knowingly.
RICHIE
You bit my fuckin hand -
Richie lunges at him, hits him again with his injured hand -
which hurts Richie more than it does Campizi. The
paramedics manage to pull him away.
CAMPIZI
What can we do, Richie? You don't want
to do this. For old times sake, what can
we do? Who do you want? Who can I give
you? You want Big Sal's bookie? You want
his accountant? I'll give him to you.
Richie regards him a moment. A policy ring's accountant
wouldn't be bad. He glances back to his paramedic dabbing
at his bloody hand, and notices she's not bad-looking. She
smiles back."|unknown|||
31||10   INT. NY POLICE HQ - ENTRANCE/STAIRS - DAY                        10|location|||
32||"Four men in long black leather coats stride toward like
they own the city. It's impossible to tell if they're cops
or gangsters.
Legend:   New York City"|unknown|||
33||11   INT. NEW YORK POLICE ANNEX - PROPERTY ROOM - DAY                 11|location|||
34||"One of the same undercover cops - Detective Trupo -
scribbles a signature and badge number different from the
one on his gold shield lying next to the voucher requesting
evidence needed in court.
He pushes the voucher under a sign - ""All Handguns and
Narcotics Before 10am Next Window"" - to a clerk who takes it
past floor-to-ceiling shelves covered with files, plastic
bags bulging with handguns, knives and gambling receipts.
Bulkier items - like shotguns and baseball bats - lie
unwrapped with dangling tags.
The clerk reaches a chain-link cage where the most valuable
items are locked up - narcotics, pornography, cash - checks
the voucher against tags, takes down an old green suitcase.
8."|unknown|||
35||12        EXT. WAREHOUSE - DAY                                             12|location|||
36||"Trupo's car - a Shelby Mustang - roars up. He climbs out,
crosses to a warehouse with the suitcase as the other three
SIU Princes of the City follow from another car, cradling
grocery bags."|unknown|||
37||13        INT. WAREHOUSE - DAY                                             13|location|||
38||"Trupo snaps the suitcase open revealing five half-kilo bags
of uncut heroin in clear plastic bags. The other cops pull
from the grocery bags: a Pyrex mixing bowl, flour sifter,
boxes of milk-sugar, latex kitchen gloves, a medical scale,
and yellow baggies.
Hands peel back the distinctive black and green ""evidence""
tape on the clear plastic bags. Dump the heroin into twenty
yellow baggies. A half-kilo of lactose is poured into each
of the now-empty property room bags.
TRUPO
Now just enough for the reagent test.
He removes one tablespoon of heroin from each of the
baggies, and the now-almost-heroin-free powder is mixed
through the flour sifter, poured back into the clear bags,
the tape resealed, the bags returned to the suitcase."|unknown|||
39||14        INT. NY COURTROOM - DAY                                          14|location|||
40||"The suitcase and   ""heroin,"" and some weapons and money, have
been arranged on   an evidence table with the care of a Macy's
display window.    Trupo - the officer in charge of the case -
watches the jury   files in -"|unknown|||
41||15        EXT. UNDER EXPRESSWAY - DAY                                      15|location|||
42||"A Lincoln Continental pulls up. Trupo climbs out of his
Shelby with a sports bag, crosses to the Lincoln, climbs in
back where an Italian wise guy - Rossi - sits. Trupo unzips
the bag revealing the recut heroin - in the yellow plastic.
ROSSI V/O
This is the French Connection dope.
The same dope Popeye Doyle and Sonny
Grasso took from us."|unknown|||
43||16 OMIT                                                             16 OMIT|location|||
44||9.|unknown|||
45||17     INT. ITALIAN BAR - NY - DAY                                      17|location|||
46||"Frank comes into an empty bar, chairs up on tables. A
middle-aged man mopping up glances up at him as he crosses
to a back room.
ROSSI V/O
They seize it, arrest everybody,
whack it up and sell it back to us.
Our dope. They been living off it for
years, these New York cops."|unknown|||
47||18     INT. ITALIAN BAR - BACK ROOM - NY - DAY                          18|location|||
48||"Several ounces of the dope sits in foreground on a table.
ROSSI
They basically control the market with
it. What the fuck has happened to the
world, Frank?
FRANK
Fuckin crooks.
Rossi, who looks more like a middle-aged accountant than the
Italian dope supplier he is, makes two espressos.
ROSSI
Sad about Bumpy.
Behind Frank, a TV airs a report by Walter Cronkite on the
heroin problem among GIs in Vietnam.
ROSSI
Things are never going to be the same in
Harlem. The girls, the clubs, the music -
walk down the street, nobody bothers you
because Bumpy's making sure of it.
(hands Frank one of the
espressos)
How bad is it there now?"|unknown|||
49||18pt   FLASHCUTS TO HARLEM                                            18pt|location|||
50||"Guys barge into a room, steal money from a crap game at
gunpoint - Cops push guys against a bar, empty their pockets
- A dealer shoots another dealer in an alley -"|unknown|||
51||18pt   BACK TO THE HOTEL ROOM                                         18pt|location|||
52||"It's chaos.    Every gorilla for himself.
(CONT)
10."|unknown|||
53||18pt   CONTINUED:                                                        18pt|location|||
54||"ROSSI
Who can live like that? There has to
be order. That would never happen with
Italians. More important than any one
man's life - is order."|unknown|||
55||19     EXT. HARLEM - DAY                                                   19|location|||
56||A street sign on a corner:        116th and 8th Avenue.|unknown|||
57||20     INT. DINER - HARLEM - DAY                                           20|location|||
58||"As is his custom, Frank eats breakfast alone. A middle-
aged waitress appears when he's done, picks up his plate
and refills his coffee.
FRANK
Thank you, Charlene.      Last one.
CHARLENE
It's all right with me, Frank, you can
stay all day if you want, but I wouldn't.
It's nice outside.
FRANK
Then maybe I'll have to go for a walk.
Just cause you said so.
She smiles and leaves. Frank pours some sugar in his
coffee. Someone taps on the window and he looks up, sees
two servicemen - one in uniform - one he recognizes."|unknown|||
59||21     INT. REDTOP'S APARTMENT BUILDING - DAY                              21|location|||
60||Frank leads the servicemen up the stairs of a building.|unknown|||
61||22     INT. REDTOP'S APARTMENT - DAY                                       22|location|||
62||"Corner apartment above the street. A girl sits smoking at
a work table covered with drug-cutting apparatus. Another -
Frank's cutter and sometimes-girlfriend, Red Top - sets a
couple of packets of heroin in front of the servicemen.
RED TOP
On the house for our men in uniform.
SERVICEMAN 1
Why, thank you, sugar, that's very kind.
RED TOP
Thank Frank.
(CONT)
11."|unknown|||
63||22        CONTINUED:                                                         22|location|||
64||"Frank nods, you're welcome before the man can thank him.
The servicemen start cooking up the dope.
FRANK
How's Nate?   You seen him?
SERVICEMAN 1
All the time. Nate is everywhere.
He's good. Got himself a club now.
FRANK
Where, Saigon?
SERVICEMAN 1
Bangkok.
SERVICEMAN 2
I don't think he's ever coming home.
Regarding the dope as the servicemen shoot it up -
FRANK
You're gonna have to boot it a couple
times. Cops keep cutting it, selling it,
cutting it -
SERVICEMAN 1
I don't want to say anything cause the
price is right - but the shit in Nam is
way, way, way, way, way -
He begins to nod out before he can finish the sentence."|unknown|||
65||"23 OMIT                                                                23 OMIT
24        EXT. SOCIAL CLUB - NEWARK - LATE AFTERNOON                         24"|location|||
66||"Across the river, Richie, Rivera and Campizi sit in the car
parked across from a closed social club. A man carrying a
grocery bag comes out and Campizi ducks lower in the seat.
CAMPIZI
That's him.
Newsboy Moriarty's mob accountant puts the grocery bag in
the trunk of a car, climbs in behind the wheel."|unknown|||
67||25        EXT. NEWARK - SCRAP METAL YARD - LATE AFTERNOON                    25|location|||
68||"From the parked car they observe the accountant putting
another bag in his trunk.
12."|unknown|||
69||26   EXT. STREET - NEWARK - LATE AFTERNOON                          26|location|||
70||"He comes out of another place with another bag.       To Campizi -
RICHIE
All right.   Get lost.    Get out.
Campizi slinks out of the car. Richie and Rivera follow
after Newsboy Moriarty's accountant's car."|unknown|||
71||27   EXT. PARKING LOT - LATE AFTERNOON                              27|location|||
72||"They tail the car into a lot, park and watch the accountant
leave his car and get into another car that's parked there.
RIVERA
We gonna stay with him or the car?
Whatever they do, they'll have to decide quick.
RICHIE
Let's see who comes for the car."|unknown|||
73||28   EXT. PARKING LOT - NEWARK - NIGHT                              28|location|||
74||"All the other cars are gone. Rivera climbs into Richie's
with coffee and a Coke in a bag, hands him the can.
RIVERA
Think he made us?
Richie doesn't know. Glances at his watch.      Cranes in his
seat to look behind them.
RICHIE
You called for the warrant?     Where are
they?
RIVERA
I just called. I called and walked back
here and ten seconds has gone by.
Richie watches an attendant lock up, listens to the street
lamps buzz, grows impatient. Indicating the other car:
RICHIE
We saw him with the slips, Javy.
RIVERA
You saw policy slips? You saw grocery
bags. You don't know what's in them.
(CONT)
13."|unknown|||
75||28   CONTINUED:                                                         28|location|||
76||"RICHIE
Yes, I do, and so do you, don't give me
that bullshit -
RIVERA
What's the rush? Half an hour the
warrant'll be here -
RICHIE
I got night school.
RIVERA
Guess you're going to miss it.
(Rivera sips at his coffee;
then:)
You know, what you were saying before
- about throwing up in front of people -
money will take that feeling away.
RICHIE
Not when it's less.
RIVERA
Less than what.
RICHIE
Than what I make now.
RIVERA
No lawyer on earth makes less than a cop.
RICHIE
They do in the Prosecutor's Office.
Three thousand less.
RIVERA
You're fuckin kidding me.
Richie isn't kidding. Rivera stares at him like he's crazy.
Richie checks his watch. He's waited long enough."|unknown|||
77||Fuck this -|unknown|||
78||"Richie -
Richie gets out, opens the trunk, grabs a Slimjim and
bolt cutters, cuts through a gate chain and strides to the
accountant's car, Rivera following. Richie trips the
passenger door lock and pulls at the trunk release, and, as
he comes around back to search it -
(CONT)
14."|unknown|||
79||28   CONTINUED:                                                       28|location|||
80||"RICHIE
Check inside.
Rivera may as well; the damage to the case, if there is one
anymore, is done. He crawls inside the car to look under
the seats and in the glove compartment. Gravely -
RICHIE
Javy ...
Richie's staring into the trunk like there's a body inside.
Rivera comes over, takes a look, sees it's money: stacks of
it rubber-banded together, spilling from grocery bags - more
than either of them has ever seen. As the trunk closes -"|unknown|||
81||29   EXT. PARKING LOT / RICHIE'S CAR - LATER - NIGHT                  29|location|||
82||"Richie and Rivera sit in their car in silence, staring out
at the car with the money in it. Eventually -
RICHIE
This isn't a couple of bucks.
RIVERA
It's the same thing.   In principle.
RICHIE
We're talking about principle?
RIVERA
Richie, a cop who turns in this kind of
money says one thing: He'll turn in cops
who take money. We'll be pariahs.
RICHIE
We're fucked either way.
RIVERA
Not if we keep it. Only if we don't.
Then we're fucked, you're right. But not
if we keep it.
RICHIE
(more to himself)
Yes, we are.
RIVERA
Goddamn it, did we ask for this? Did we
put a gun to someone's head and say, Give
us your money? Cops kill cops they can't
trust. We can't turn it in.
They regard each other again in silence ...
15."|unknown|||
83||30   INT. NEWARK POLICE STATION - LATER - NIGHT                    30|location|||
84||"As a police captain counts the stacks of money, Lou Toback,
Richie's superior from the prosecutors office, walks in, his
night out interrupted by this emergency. He crossed to where
Richie and Rivera sit alone in a corner. Quietly:
TOBACK
How much.
RICHIE
Nine hundred and eighty thousand.
TOBACK
What happened to the rest?
It's a joke but isn't funny, not even to Toback. He regards
his men who turned it in, then the other cops in the place -
who are watching them and the money being counted. Toback
walks over to the captain, and, quietly:
TOBACK
What're you doing counting this in front
of everybody? Are you out of your fuckin
mind? Take it into a room. Now.
Richie's glance to Rivera says, You're right, we're fucked."|unknown|||
85||31   INT/EXT. NEWARK POLICE STATION - PRE-DAWN                     31|location|||
86||"As Richie leaves alone, he's aware of all the eyes on him -
knowing the other cops' looks don't signify awe or respect,
but contempt and fear, like Rivera predicted. Neither will
ever be trusted again. He climbs into his car, drives off."|unknown|||
87||32   INT. DINER - HARLEM - DAY                                     32|location|||
88||"Tango and his bodyguard come in and approach Frank's table
where he reads the morning paper as he eats breakfast.
TANGO
Didn't you see the jar, Frank?
I think you walked right past it.
Frank ignores him, forks at his eggs, eats.    Tango sits.
TANGO
The money jar. On the corner.      What I
got to do, put a sign on it?
Frank indicates that he would answer if his mouth wasn't
full. He swallows finally, but then only reaches for his
coffee cup to take a sip, further irritating Tango.
(CONT)
16."|unknown|||
89||32   CONTINUED:                                                        32|location|||
90||"TANGO
Bumpy don't own 116th Street no more,
Frank. Bumpy don't own no real estate in
Harlem no more. I'm the landlord now and
the lease is twenty-percent.
Frank dabs at his mouth with a napkin and gives Tango a look
that says that won't be happening.
TANGO
Then don't sell dope, Frank. Get a
fuckin job. You need a job? You can be
my driver, drive me around, open my door,
yes, sir, no sir, where to, sir, right
away, Massa Johnson, sir.
Right now Tango is dead. No doubt about it.          On the
surface, though, Frank remains cool.
FRANK
Twenty percent?
TANGO
Of every dollar. Every VIG, every
truckload, every girl, every ounce.      In
the jar.
FRANK
Twenty percent's my profit. If I'm
giving it to you then what am I doing?
Twenty percent puts me, and everyone you
know, out of business, which puts you out
of business.
(reaches for his breakfast
check)
There are ways to make money
legitimately, and then there's this way.
Not even Bumpy took twenty percent.
TANGO
Bumpy's fuckin dead.
Frank regards Tango a moment, gets up, takes out his money
clip, covers the check on the table with a five, peels off a
$1 bill from the clip, tosses it down in front of Tango."|unknown|||
91||"There.   That's twenty-percent.
As he turns and leaves, Tango watches after him ...
17."|unknown|||
92||33   INT. RICHIE'S APARTMENT - NIGHT                               33|location|||
93||"Stitched-up, black and blue hands dump a can of soup in a
pot, put it on the stove."|unknown|||
94||34   INT. FRANK'S APARTMENT - NIGHT - INTERCUT                     34|location|||
95||"A pencil clutched by long fingers scribbles figures. But
no matter how many times Frank does the arithmetic, there's
not much left, he calculates, after he pays the Italian
suppliers and, if he were to, Tango."|unknown|||
96||35   INT. RICHIE'S APARTMENT - NIGHT - CONTINUED                   35|location|||
97||"Richie has moved to a small desk cluttered with law
textbooks. He cracks one open to study for the New Jersey
Bar exam as he eats the soup out of the pot he heated it in.
Above him on the wall is a framed photograph of Joe Louis
standing over a sprawled-on-the-mat Billy Conn."|unknown|||
98||36   EXT. CONEY ISLAND - BEACH - DAY - INTERCUT                    36|location|||
99||"A bleak day. Seagulls fighting over scraps on the sand as
others hover overhead, flapping and cawing. Alone near the
water, Frank tosses a stick for the German shepherd he
inherited."|unknown|||
100||37   INT. RICHIE'S APARTMENT - NIGHT - INTERCUT                    37|location|||
101||"Richie opens a small wooden box in his bleak apartment,
revealing an ounce of marijuana, rolling papers and clips.
As he rolls a joint -
BUMPY V/O
A leader is like a shepherd -"|unknown|||
102||38   EXT. CONEY ISLAND - BEACH - DAY - CONTINUED                   38|location|||
103||"The sounds of the gulls and surf and roller coaster begin to
fade as Frank throws the stick again.
BUMPY V/O
Sends the fast nimble sheep out front,
and the others follow as the shepherd
walks quietly behind -
The dog retrieves the stick, but this time - somehow - it's
to Bumpy's hand he returns it. Frank listens attentively.
BUMPY
He's got the stick - the cane - and
he'll use if he has to.
(MORE)
(CONT)
18."|unknown|||
104||38   CONTINUED:                                                       38|location|||
105||"BUMPY (CONT'D)
But most of the time he doesn't have to.
He moves the whole herd - quietly.
Bumpy smiles and tosses the stick."|unknown|||
106||39   INT. RICHIE'S APARTMENT - NIGHT - INTERCUT                       39|location|||
107||"The smoke from the joint rises to the ceiling as Richie
studies."|unknown|||
108||40   EXT. CONEY ISLAND - BEACH - DAY - CONTINUED                      40|location|||
109||The dog trots back to Bumpy and Frank with the stick.|unknown|||
110||41   EXT. BOARDWALK - CONEY ISLAND - LATER                            41|location|||
111||"Hot dog stand. Bumpy hands a hot dog to Frank, holds out
another to the shepherd. To camera:
BUMPY
What right do they have cutting out the
suppliers, the middlemen, buying direct,
putting Americans out of work ... This
is the way it is now, Frank.
Frank nods. The vender hands him a napkin. The shepherd
is still with him, but Bumpy is gone, and the gulls and the
people on the roller coaster squeal as Frank comes out of
his meditative trance with an idea."|unknown|||
112||42   CLOSE-UP: (DOCTOR'S OFFICE)                                      42|location|||
113||"A needle pierces the crook of Frank's arm.       Slight grimace.
A cotton ball is pushed onto the puncture.       Malaria shot."|unknown|||
114||43   CLOSE-UP: (PHOTOGRAPHY SHOP)                                     43|location|||
115||A strobe lights up Frank's face:      a passport photo.|unknown|||
116||44   CLOSE-UP: (POST OFFICE)                                          44|location|||
117||"The photo and a duplicate are stapled to a passport
application."|unknown|||
118||45   INT. CHEMICAL BANK - SAFETY-DEPOSIT ROOM - DAY                   45|location|||
119||"Keys turn the locks of a safety-deposit box. The lid lifts
revealing decks of cash. Frank takes it all out, slips one
slender packet into Bumpy's banker's jacket pocket.
FRANK
Get yourself a new suit.
19."|unknown|||
120||46      INT. CHEMICAL BANK - VICE PRESIDENT'S OFFICE - DAY              46|location|||
121||"Under portraits of bank Vice Presidents before him, the man
types out a Chemical Bank check for Frank for $400,000."|unknown|||
122||"47 - 48 OMIT                                                47 - 48 OMIT
49      EXT. PARK - NEWARK - DAY - SAME TIME                            49"|location|||
123||"The sound of the plane growls and fades overhead as Richie's
ex-wife keeps an eye on their son playing on a grassy area."|unknown|||
124||"I'm sorry.
LAURIE
I don't know, Richie.
RICHIE
It couldn't be avoided. Next weekend
I'll be able to take him.
She regards him with a weary look, but he's looking over at
one of the other - better-looking - moms in the park."|unknown|||
125||"I'm moving.
He looks back, not sure he heard right."|unknown|||
126||"What?   Where?
LAURIE
To the St. Regis, what do you care.
(pause)
My sister's.
RICHIE
Your sister's. In Vegas?
He glances away to a sound: shattering glass.        Some teen-
agers breaking bottles on the ground.
RICHIE
You can't move to Vegas.     Not with
Michael anyway.
LAURIE
What am I supposed to do with him?       Leave
him with you? There's a picture.
(CONT)
20."|unknown|||
127||49   CONTINUED:                                                          49|location|||
128||"RICHIE
(to the vandals)
Hey, you want to shut up over there?
The teenagers ignore him. He tries to ignore them, but it's
hard with the constant noise.
RICHIE
No court will allow it for one thing.
I won't allow it.
LAURIE
You?
RICHIE
When am I supposed to see my son?
LAURIE
Last weekend!
Their son glances over at them. Richie looks over at the
teenagers again breaking bottles, then back to Laurie.
RICHIE
Laurie, you can't raise a kid in Las
Vegas.
LAURIE
Oh, like this is a good environment.
Around your friends. There are less
creeps in Vegas.
RICHIE
What's he going to grow up to be in a
mobbed up place like that? What are you
thinking?
LAURIE
I'm thinking - Richie - of him!
RICHIE
Goddamn it -
The noise of the glass is driving him crazy. He strides
over to the teenagers, who look at him like, What are you
gonna do, old man, it's four against one.
RICHIE
I told you nice to shut the fuck up.
Now I'm gonna kill you.
He pulls out his gun and aims it at one of them, then the
others. All instinctively try to cover their heads.
(CONT)
21."|unknown|||
129||49      CONTINUED:                                                       49|location|||
130||"RICHIE
Pick up the fuckin glass!
As they dive to their knees to do what they're told, Laurie
walks away with her son, who looks back over his shoulder at
his father with his gun out."|unknown|||
131||50      EXT. BANGKOK - NIGHT                                             50|location|||
132||"Frank sits in the back of a motor samlor.       Bicycles dart
around it like flies."|unknown|||
133||"51 - 52 OMIT                                                 51 - 52 OMIT
53      INT. SOUL BROTHERS BAR - NIGHT                                   53"|location|||
134||"The clientele is almost exclusively black servicemen on R&R
and Asian women. A trio of ex-GI's plays authentic Southern
blues on a small stage. Ham hocks and collard greens come
out of the kitchen. Smoke chokes the place.
Frank, one of the few men not in uniform, and not drunk or
stoned, sits alone at a table with a Coca-Cola and surveys
the activity: Dope being rolled. Dope being smoked. Dope
being shot. GI's and prostitutes climbing a staircase.
His eyes follow an Army Master Sergeant, moving among the
tables as if checking on the GI's well being. But at some,
his hand takes money, leaves in its place packets of powder.
The Sergeant feels eyes on him and glances up, catching
Frank watching him from across the room. He squints through
the smoke at the figure at the table in the shadows, and, in
a kind of shock, more to himself -
NATE
Frank - ?
Frank half-lifts his glass to wave, and Nate beams."|unknown|||
135||54      INT. SOUL BROTHERS BAR - NIGHT                                   54|location|||
136||"Frank has guests at his table now: his cousin Nate the
Sergeant, and two young Asian wise guys. They talk about
him in Thai (subtitled):
THAI
He say how much he wants?
NATE
He said ""a lot."" What that means, I
don't know. Four or five keys?
(CONT)
22."|unknown|||
137||54   CONTINUED:                                                       54|location|||
138||"The Thais regard Frank a moment, size him up.
THAI
He's your cousin.
NATE
My cousin-in-law.    My ex-wife's cousin.
THAI
Ask him how much he wants.
NATE
How much you gonna want, Frank?
FRANK
A hundred kilos.
Nate blinks like there's something in his eye ..."|unknown|||
139||55   EXT. BANGKOK - STREET VENDER - DAY                               55|location|||
140||"Steam and neon.    Frank and Nate at a crowded stand.
NATE
No one I know can get that much. It'd
have to be pieced together from several
suppliers and none of it's gonna be 100-
percent pure.
FRANK
That's not what I want.
NATE
I know that. But that means dealing
with the Chiu-Chou syndicates in Cholon
or Saigon - if they'll deal with you -
FRANK
No, even then it's too late. It's been
chopped. I want to get it where they get
it. From the source.
Nate stares at him ... then laughs.       Frank doesn't.
NATE
You're gonna go get it.
FRANK
Why not.
NATE
You're gonna go into the fuckin jungle -
(CONT)
23."|unknown|||
141||55     CONTINUED:                                                       55|location|||
142||"FRANK
I've lived in jungles all my (life) -"|unknown|||
143||"No. This is the jungle. Tigers.
Vietcong. The fuckin snakes alone will
kill you."|unknown|||
144||AA56   INT. NEW JERSEY BOARD OF BAR EXAMINERS - DAY                   AA56|location|||
