|character|text|type|character_clean|gender
10||"Bond slaloms down, in and out of trees, to avoid detection. At the
bottom, where the snow thins, he comes to:
A ROCK OUTCROPPING.
Hiding behind the rock, Bond takes off his skis, knapsack. He
unpacks (and unfolds) a HIGH TECH AUTOMATIC RIFLE. Puts on a
HEADSET. He creeps up on the rock, and looks out on:
A SECRET MILITARY BASE/AIR STRIP (BOND'S POV)
50 feet down, 200 yards away: 50 MEN are unloading CARGO from a dozen
MILITARY TRANSPORT TRUCKS; there are TWO NORTH KOREAN MiG-29s on the
ground (one partially obscured by a truck,) plus FLATBEDS carrying
HELICOPTERS and SCUD MISSILES.
Near a QUONSET HUT, a TRUCK-MOUNTED RADAR DISH scans the area, with
INFRARED GATLING GUNS mounted on either side.
BOND - AT THE ROCK OUTCROPPING -
Props his rife on the boulder, and peers through the GUN SIGHT.
THROUGH THE TELESCOPIC SIGHT -
He sees a closer (but still wide) telescopic view of men bargaining
over weapons, and forklifts loading/unloading crates of munitions.
THE SAME SCENE ON A VIDEO WALL - MI-6 SITUATION ROOM, LONDON."|stage direction||
11||(over a speaker)|location||
12|BOND'S VOICE|Seven, in position.|speech|BOND'S VOICE|?
13|TANNER'S VOICE|Roger, Seven.|speech|TANNER'S VOICE|?
14||"Watching this display is M, TANNER, and a handful of MILITARY BRASS,
including a RUSSIAN GENERAL, BUKHARIN, and BRITISH ADMIRAL ROEBUCK,
an aging sea-lion with no love for M, or MI-6.
M deals with the humorless Admiral by, well, humoring him:"|stage direction||
15|M|"... What were you saying, Admiral?
Something about this 'not being a job
for a wine-sniffing, skirt-chasing
playboy spy?'"|speech|M|M
16|ADMIRAL ROEBUCK|"- I'll be sure to acknowledge 007's
'assistance' in my report to the
Prime Minister. But this is, still,
a naval operation."|speech|ADMIRAL ROEBUCK|?
17|M|"What do they say in Russia, General
Bukharin?"|speech|M|M
18||(asks questions in|location||
19||flawless Russian)|unknown||
20||The general chuckles. Translates:|stage direction||
21|GENERAL BUKHARIN|"'In a joint operation, someone's nose
always gets put out of joint.'"|speech|GENERAL BUKHARIN|?
22||M turns to Admiral Roebuck:|stage direction||
23|M|"I'm interested in success, Admiral.
Not who gets credit."|speech|M|M
24||(turning to:)|location||
25|M|Mr. Tanner: What have we got?|speech|M|M
26||Tanner points to the video wall with a RED LASER PEN.|stage direction||
27||(ironically)|location||
28|TANNER|"A regular terrorist swap meet. Death
at discount: Two Chinese Long March
Scuds, a pair of Soviet A-17 attack
helicopters -"|speech|TANNER|F
29||(interrupting)|location||
30|BUKHARIN|Stolen -|speech|BUKHARIN|?
31|TANNER|"And the crates look like American M-16
assault rifles, Chilean antipersonnel
mines, six French Exocet missiles, and
75 - no maybe a hundred - kilograms of
Czech made C-4 Semtech explosive."|speech|TANNER|F
32||(beat)|location||
33|TANNER|"Something for everyone. Fun for the
whole family."|speech|TANNER|F
34||(freezing him with a glance)|location||
35|M|What about ID's?|speech|M|M
36||(pushes a button on a console)|location||
37|TANNER|One to seven: Deal the face cards.|speech|TANNER|F
38||"THE ROCK OUTCROPPING -
Bond adjusts a knob on the scope.
MI-6 SITUATION ROOM -
On the video-screen, the picture zooms to a CLOSE UP of one of the
arms traders. Tanner presses a button, and - almost instantly - the
man's bio and vitals appear on another video screen."|stage direction||
39|TANNER|"Gustav Meinholtz. Neo-Nazi, former
East German STASI agent. Ties to the
Beider-Meinhoff gang."|speech|TANNER|F
40||(pressing a button)|location||
41|TANNER|Aces high, seven. Bid to the east.|speech|TANNER|F
42||"Bond shifts his aim, east. (Intercut as necessary) He zeroes in on
another face, and the man's stats appear in London."|stage direction||
43|TANNER|"Vilko Barkoviac. Bosnian war
criminal; thought to be operating
freelance out of Teheran."|speech|TANNER|F
44||(pressing a button)|location||
45|TANNER|Full house, seven. Bid to the North.|speech|TANNER|F
46||Bond complies. Another face, another set of stats:|stage direction||
47|TANNER|"Sitoshi Isagura. Japanese religious
fanatic. Wanted for the Tokyo subway -"|speech|TANNER|F
48||(impatiently, cutting him off:)|location||
49|ADMIRAL ROEBUCK|I've seen enough. Let's finish this.|speech|ADMIRAL ROEBUCK|?
50||(ordering M:)|location||
51|ADMIRAL ROEBUCK|"Tell your man to drop back. We're
initiating plan B -"|speech|ADMIRAL ROEBUCK|?
52|M|But -|speech|M|M
53|ADMIRAL ROEBUCK|"- Thank you, M. But this is more
than your man can handle."|speech|ADMIRAL ROEBUCK|?
54||(to Bukharin)|location||
55|ADMIRAL ROEBUCK|Are we in agreement?|speech|ADMIRAL ROEBUCK|?
56||(hesitant, at first)|location||
57|BUKHARIN|- Yes. Yes.|speech|BUKHARIN|?
58|M|Admiral -|speech|M|M
59||Moving swiftly, the Admiral has picked up a RED PHONE:|stage direction||
60|ADMIRAL ROEBUCK|"Command to Nelson: Authorization to
fire."|speech|ADMIRAL ROEBUCK|?
61||"EXT. A BRITISH WARSHIP - STEAMING IN THE GULF OF OMAN -
INT. WEAPONS CONTROL ROOM - BRITISH WARSHIP -"|location||
62|CAPTAIN|"Weapons authorized. Prepare to fire.
On my count: Five. Four. Three. Two -"|speech|CAPTAIN|M
63||EXT. DECK OF THE WARSHIP -|location||
64||A launcher rotates, and - BOOM - a Cruise missile blasts off.|stage direction||
65||INT. WARSHIP WEAPONS CONTROL ROOM -|location||
66|FIRING OFFICER|Cruise missile away -|speech|FIRING OFFICER|?
67||MI-6 SITUATION ROOM -|stage direction||
68|FIRING OFFICER'S VOICE (Cont'd)|Time to target: Four minutes.|speech|FIRING OFFICER'S VOICE|?
69|ADMIRAL ROEBUCK|"I appreciate your assistance, M. But
this is now a military operation."|speech|ADMIRAL ROEBUCK|?
70||(urgently, to Tanner)|location||
71|M|"Bring up the tracking satellite. And
get 007 out of there."|speech|M|M
72||"Tanner hits a button - and a third video screen appears, displaying a
satellite view of the area, detailing the Cruise's path and progress."|stage direction||
73|TANNER|"One to seven: Exit target area.
Repeat -"|speech|TANNER|F
74|BOND'S VOICE|Seven to one. Negative. Wait.|speech|BOND'S VOICE|?
75||"THE ROCK OUTCROPPING -
Bond has taken his eye from the scope. He's peering at:
THE MIG-29'S - (""MiG-1,"" AND ""MiG-2"") -
A FORKLIFT appears from behind the TRUCK blocking the view of ""MiG-l""
A TALL BALD MAN is riding the empty fork, with his back to us.
BOND -
Puts his eye back on the scope, shifts the rifle -
MI-6/VIDEO WALL -
Bond's scope view settles on THE BALD MAN. The forklift reaches the
back of the truck. HE STEPS OFF as the fork begins rising to unload
something. And as the man turns, FACING US to scan the area:"|stage direction||
76|TANNER|Oh, no.|speech|TANNER|F
77|M|Who is it?|speech|M|M
78||(calling up his stats)|location||
79|TANNER|"Kim Dae Yung. North Korean Nuclear
specialist."|speech|TANNER|F
80|M|"Meaning there may be nuclear material
down there?"|speech|M|M
81||"Tanner nods. A look passes from M, to Bukharin, to Roebuck.
THE CRUISE MISSILE -
Hugging the surface, crossing from water to land.
MI-6 SITUATION ROOM -"|stage direction||
82|VOICE FROM WARSHIP|Time to target: Three minutes.|speech|VOICE FROM WARSHIP|?
83||(sfx: Beep!)|location||
84|VOICE FROM WARSHIP|Target acquired. Weapon armed.|speech|VOICE FROM WARSHIP|?
85||"Tension. Adrenaline. QUIET PANIC. On the SCREEN, the FORK LIFT has
pulled a RED BOX from the truck, a SHORT ROUND MAN appearing with it."|stage direction||
86|M|Who is that?!? What's in the box??|speech|M|M
87||(punching buttons)|location||
88|TANNER|I don't know. He's not in the database -|speech|TANNER|F
89||(to Bukharin)|location||
90|M|What's in the box, General?|speech|M|M
91||(he shrugs)|location||
92|M|What's in the box???|speech|M|M
93||"BUKHARIN
(sheepishly)
... We usually... Transport...
Weapons grade uranium.
Shock sweeps the room. M turns on Tanner:"|stage direction||
94|M|Will it go off?|speech|M|M
95|TANNER|Maybe. Maybe not.|speech|TANNER|F
96|M|Abort the cruise.|speech|M|M
97|ADMIRAL ROEBUCK|It's too late -|speech|ADMIRAL ROEBUCK|?
98|M|GET BOND OUT OF THERE.|speech|M|M
99|TANNER|One to seven - one to seven -|speech|TANNER|F
100||BOND - SQUINTING THROUGH THE RIFLE AT THE OUTCROPPING -|stage direction||
101|BOND|Negative, one. NOT YET.|speech|BOND|M
102||"THE TRUCK/MiG-l, ON THE GROUND/THROUGH THE SCOPE -
THE BALD MAN slaps the back of the truck obscuring MiG-1. THE TRUCK
PULLS AWAY, revealing MiG-l's WING. Hanging from the weapons pod: A
NUCLEAR BOMB.
BOND - AT THE ROCK OUTCROPPING -
Mutters a curse.
MI-6 SITUATION ROOM -"|stage direction||
103|TANNER|"Soviet SB-9 nuclear torpedo. Yield,
one kiloton."|speech|TANNER|F
104|M|Will the cruise set it off?|speech|M|M
105|TANNER|Yes.|speech|TANNER|F
106||(to Bukharin)|location||
107|ADMIRAL ROEBUCK|"Jesus. Can't you people keep
anything locked up?"|speech|ADMIRAL ROEBUCK|?
108|GENERAL BUKHARIN|We didn't know it was missing.|speech|GENERAL BUKHARIN|?
109|M|"Get me the Prime Minister. Alert
NATO, the CIA, the Pentagon."|speech|M|M
110||(presses a button:)|location||
111|M|"Seven: This is a direct order. I
want you out of there. Do you copy?"|speech|M|M
112||"THE ROCK OUTCROPPING -
Bond's headset lies on top of the rock, along with the telescopic
sight - still broadcasting.
Find Bond, crouching BEHIND the rock. Automatic rifle in one hand,
GRENADE in the other. He pulls the pin, hurls it 40 feet away.
Pauses. Waits, counting down time. Then -
BOND SPRINGS. SHOOTS at one of the CRATES. IT BLOWS UP, just as -
THE GRENADE EXPLODES.
There's PANIC ON THE GROUND. Men running everywhere as THE RADAR/
GATLING GUN spins, and SENDS A HAIL OF FIRE at Bond's diversion.
And with this, BOND is off, SPRINTING INTO THE CHAOS.
THE SAME SCENE - VIDEO SCREEN - MI-6 SITUATION ROOM.
Stoned silence. Disbelief. Tanner whispers:"|stage direction||
113|TANNER|God help him.|speech|TANNER|F
114||"THE CRUISE MISSILE - FLYING THROUGH A MOUNTAIN RAVINE -
God help the rest of us.
THE SECRET AIR BASE -
As various factions shoot at each other (Who's the traitor?) Bond
streaks toward the action. Without breaking stride, he swings his
gun to the right: TWO BURSTS. THREE MEN DIE. Still running, he
swings to the left: ANOTHER BURST. TWO MORE DOWN.
Ahead, Bond sees the FLIGHT CREWS DASHING for the MiG's. He makes a
beeline for MiG-1.
ANGLE ON THE BALD MAN -
Slamming the gate on the RED BOX in a cargo truck. Rushing to the
passenger door. Climbing in. The SHORT ROUND MAN floors the
accelerator, driving them away.
THE CRUISE MISSILE - STARTING ITS DESCENT DOWN A MOUNTAIN
MI-6 SITUATION ROOM - M, WATCHING HELPLESSLY -"|stage direction||
115|VOICE FROM WARSHIP|Time to target: Thirty seconds.|speech|VOICE FROM WARSHIP|?
116||"WIDE ON MiG-1 -
The pilot climbs the ladder to the cockpit. Running at full tilt,
BOND LEAPS, pulls the man down. They fall to the tarmac, FIGHTING.
Bond SHOVES A KNIFE in the man's ribs, killing him.
Kneeling, Bond takes the pilot's helmet off. He looks up: A MAN is
coming at him with a GUN. In one unbroken move, Bond YANKS THE KNIFE
from the pilot's body and THROWS IT - thwack - into the man's heart.
ANGLE ON MIG-2'S PILOT - WATCHING THIS FROM HIS COCKPIT.
RETURN ON BOND - CLIMBING INTO THE COCKPIT -
Where the COPILOT (having climbed in from the other side,) sees it's
not the right guy. As he fumbles for a weapon, BOND BASHES HIM WITH
THE HELMET. The copilot collapses into his seat, unconscious.
Bond settles into his seat, fires the engines, closes the double
canopy, and begins taxiing out.
THE CRUISE MISSILE - CROSSING OVER THE PERIMETER OF THE AIR BASE
MI-6 SITUATION ROOM - ROEBUCK, TANNER, M, WATCHING, UNABLE TO BREATHE -
HIGH ANGLE - THE RUNWAY -
The CRUISE SKIMS IN DIRECTLY OVER BOND'S PLANE, speeding to takeoff.
(INT. BOND'S MiG) BOND SHOVES THE THROTTLES TO THE FIREBALL AND -
THE VIDEO-WALL - MI-6 SITUATION ROOM -
KA-BOOM!!!! The scene on the screen erupts in a GIANT EXPLOSION -
then turns to video-snow. Is Bond alive? No one in London knows.
HIGH ANGLE - THE AIR BASE -
The FIREBALL grows and grows, a raging hell. And just when it seems
no one could possibly survive: BOND'S MiG ROCKETS OUT OF THE FLAMES!!"|stage direction||
117||INT. BOND'S MiG -|location||
118||"Bond thinks he's safe. Sound. Until -
MiG-2 FLIES OUT OF THE FIREBALL -
Cannons blazing at 007. A hail of metal and tracers."|stage direction||
119||INT./EXT. BOND'S MIG -|location||
120||"Bond goes into evasive maneuvers - jinks right, jinks left - when,
suddenly, THE COPILOT REVIVES, and starts trying to STRANGLE Bond
with a METAL LANYARD. Struggling, Bond HEARS a THIN HIGH-PITCHED
TONE -"|stage direction||
121||INT./EXT. MIG-2|location||
122||"The pilot has locked onto Bond's MiG. Boom! TWO HEAT-SEEKING
MISSILES roar away."|stage direction||
123||INT./EXT. BOND'S MIG -|location||
124||"Fighting the garrote, Bond KICKS THE THROTTLES forward and PULLS BACK
ON THE YOKE. The MiG goes into a spine crushing climb as -
THE TWO HEAT SEEKING MISSILES FOLLOW HIM, LOOPING UPWARD."|stage direction||
125||INT. MIG-2 -|location||
126||"Bond's MiG has disappeared from the pilot's view: Not in front. Not
on the left. Not on the right. Where did he go? The pilot looks up:
BOND'S MIG APPEARS, FLYING INVERTED, COCKPIT DOWN, 10 FEET ABOVE MIG-2.
THE PILOT OF MIG-2 IS STUNNED."|stage direction||
127||INT./EXT. BOND'S MIG -|location||
128||"Fighting against the garrote, Bond strains to reach a RED BUTTON on
the panel: COPILOT EJECTOR SEAT.
Bond finally taps it, and - THE BACK HALF OF THE CANOPY BLOWS OFF!
The COPILOT BLASTS OUT OF THE PLANE, DOWNWARD, directly into MIG-2's
cockpit. Bond peels off.
For a second, MiG-2 hangs in the air. Until... BOOM!!! The TWO HEAT
SEEKING MISSILES BLAST IT TO SMITHEREENS.
Back in MiG-1, Bond fiddles with the radio.
MI-6 - SITUATION ROOM -"|stage direction||
129|BOND'S VOICE|"Seven to base. I have a full
house. Your bid."|speech|BOND'S VOICE|?
130||"The situation room erupts in cheers.
RETURN ON BOND IN THE MIG -"|stage direction||
131|BOND|"By the way: Thank the General for all
his ""assistance."" Over and out."|speech|BOND|M
132||EXT. BOND'S MIG -|location||
133||"Goes to AFTERBURNERS. And from the fiery glow of the engine, we
DISSOLVE TO:
THE 007 GUN BARREL. MAIN CREDITS.
After credits, fade in on:"|stage direction||
134||EXT. OXFORD COLLEGE - DAY|location||
135||All ivy and bricks... And a certain Aston-Martin DB-5, parked.|stage direction||
136||INT. BOOK LINED OFFICE -|location||
137||"Afterglow: Empty champagne bottle. Rumpled sheets on a sleeper sofa.
Bond is in bed with a smart, IRONIC, (and, yes, stunning,) 30-ish
Chinese woman, JENNY WU. (NOTE: The Chinese here is Mandarin, spelled
phonetically.)"|stage direction||
138||(running a finger across her lips)|location||
139|BOND|... And what do you call these?|speech|BOND|M
140|JENNY WU|Ja-shwa tsway. These are lips.|speech|JENNY WU|?
141|BOND|Indeed they are.|speech|BOND|M
142||(kisses them, lightly)|location||
143|BOND|Deadly little things.|speech|BOND|M
144||She laughs. His hand goes beneath the sheets.|stage direction||
145|BOND|"And what do you call these? The Gang
of Two?"|speech|BOND|M
146||(smacking his hand, laughing:)|location||
147|JENNY WU|Stop it!|speech|JENNY WU|?
148|BOND|I was just getting to the interesting part!|speech|BOND|M
149|JENNY WU|"We've already done the interesting
part. Do you forget?"|speech|JENNY WU|?
150|BOND|Remind me.|speech|BOND|M
151||He moves to roll on top of her, but she pushes him off, teasing:|stage direction||
152|JENNY WU|Sakwa!|speech|JENNY WU|?
153|BOND|Is that Mandarin, or Cantonese?|speech|BOND|M
154|JENNY WU|Mandarin. You jerk.|speech|JENNY WU|?
155||(tousling his hair)|location||
156|JENNY WU|I'm late. I have to get dressed.|speech|JENNY WU|?
157||"She hops off the bed, leaving frame. Bond settles back on the
headboard, ready to enjoy the view... When his CELL PHONE RINGS."|stage direction||
158||(lightly)|location||
159|BOND|Hello -|speech|BOND|M
160||(catching himself)|location||
161|BOND|Hello.|speech|BOND|M
162||INT. M'S ANTEROOM - MI-6.|location||
163||MONEYPENNY, at her desk.|stage direction||
164|MONEYPENNY|"Hello, James. I hope I'm
interrupting something important."|speech|MONEYPENNY|F
165||INT. OFFICE - (INTERCUT AS NECESSARY)|location||
166||"(Jenny has a leg on the bed, pulling on a full Victoria's Secret
outfit: Nylons, garter/suspenders, bustier, etc.)"|stage direction||
167|BOND|"Not at all, Moneypenny. I was just
brushing up on a little Chinese."|speech|BOND|M
168||"(In the background, Jenny insists ""I am not little."")"|stage direction||
169|MONEYPENNY|"I'm sure she is, James. But I'm
afraid you'll have to 'kiss off' the
rest of your lessons this afternoon."|speech|MONEYPENNY|F
170||(mock chagrin)|location||
171|BOND|"Moneypenny... Here I was, finally
getting a feel for a new tongue -"|speech|BOND|M
172|MONEYPENNY|"Four o'clock. M will meet you in the
conference room."|speech|MONEYPENNY|F
173||"Bond watches with amusement as Jenny Wu slips a Graduation-type gown
over the lingerie. No dress."|stage direction||
174|BOND|"4:30. It may take me a little longer
to wrap things up here."|speech|BOND|M
175|MONEYPENNY|Four o'clock. Don't be late.|speech|MONEYPENNY|F
176||(hanging up:)|location||
177|BOND|Tsi tien, Chien-penny.|speech|BOND|M
178||ON MONEYPENNY:|stage direction||
179|MONEYPENNY|"Ah, James. You always were a cunning
linguist... Au revoir, mon cher."|speech|MONEYPENNY|F
180||Moneypenny hangs up, looks up, and blanches: M is standing there.|stage direction||
181|MONEYPENNY|Don't ask.|speech|MONEYPENNY|F
182|M|Don't tell.|speech|M|M
183||(walking away)|location||
184|M|I don't want to know.|speech|M|M
185||INT. HALLWAY - OUTSIDE JENNY'S OFFICE - OXFORD -|location||
186||"Bond and Jenny Wu emerge from the office. (She's still in the gown.)
They pass a flock of young students:"|stage direction||
187|STUDENT|Good afternoon, Professor Wu.|speech|STUDENT|?
188|JENNY WU|Good afternoon.|speech|JENNY WU|?
189||(then to Bond)|location||
190|JENNY WU|"Are you sure you can't stay for the
lecture?"|speech|JENNY WU|?
191|BOND|"I can't. But I did enjoy the dress
rehearsal."|speech|BOND|M
192||She gives him a wry glance, opens a door to a lecture hall.|stage direction||
193|JENNY WU|Tsi tien, Mr. Bond.|speech|JENNY WU|?
194|BOND|Tsi tien, Professor Wu.|speech|BOND|M
195||"She exits; Bond walks off, passing underneath a WALL MOUNTED TV SET.
ON THE TV SET - The HNN Globe Logo - The Harmsway News Network -
spins into view, followed by:"|stage direction||
196|HNN ANCHOR|"You're watching HNN, the Harmsway 24
hour news network. Coming up:"|speech|HNN ANCHOR|?
197||(mortise shot of:)|location||
198|HNN ANCHOR|"Valentin Zukofsky's stunning victory in
the Ukrainian Presidential elections..."|speech|HNN ANCHOR|?
199||(mortise shot of:)|location||
200|HNN ANCHOR|"Live coverage of the latest HNN
communications satellite launch from
Xichang (shi-chung) China... And -"|speech|HNN ANCHOR|?
201||(mortise shot of:)|location||
202|HNN ANCHOR|"A special report on the situation in
Hong Kong, since the Chinese take-
over from Great Britain."|speech|HNN ANCHOR|?
203||EXT. MI-6 LONDON - DAY|location||
204||The DB-5 drives past the guard.|stage direction||
205||INT. CONFERENCE ROOM - DAY|location||
206||"Debriefing: Bond, M, and several others listen as NATO COLONEL
DOMINIQUE EVERHART, (early 30's, Belgian,) refers to video clips from
the Khyber Pass sequence:"|stage direction||
207|COL. DOMINIQUE EVERHART|"To sum up: After analyzing the tire
inflation of the fork-lift in the MI-6
video tape, NATO believes the ""red
box contains approximately eighty
kilograms of U235 weapons grade
uranium - an incredibly hard,
incredibly heavy, incredibly lethal
substance."|speech|COL. DOMINIQUE EVERHART|?
208|M|"And that's enough enriched uranium to
produce how many nuclear devices?"|speech|M|M
209|COL. DQMINIQUE EVERHART|"Depending on the builder's sophistication
- one crude bomb that could devastate
London, Paris, New York, Berlin - or all
four if they have the latest technology."|speech|COL. DQMINIQUE EVERHART|?
210||There's a pregnant pause in the room.|stage direction||
211|M|And the participants?|speech|M|M
212||(pointing at the screen)|location||
213|COL. DOMINIQUE EVERHART|"Kim Dae Yung. Moscow-trained North
Korean nuclear weapons specialist;
apparently fell out of favor with the
current North Korean regime after a
botched attempt to steal fissionable
material from a British light-water
reactor in South Africa - an accident
that left him entirely hairless..."|speech|COL. DOMINIQUE EVERHART|?
214||Another face appears on the screen:|stage direction||
215|COL. DOMINIQUE EVERHART (cont'd)|"And Rendera Sikrahm, also known as
Richard Stamper. Freelance mercenary,
Laos and Cambodia. His father was
from Nepal - a Ghurka warrior - con-
scripted by the British government to
fight in China during World War II -
after which the family settled in
Hong Kong, where the young Stamper
was undoubtedly treated like a second
class citizen by both the Hong Kong
Chinese, and local British."|speech|COL. DOMINIQUE EVERHART|?
216||(beat, aside:)|location||
217|COL. DOMINIQUE EVERHART (cont'd)|"We've all read about the signs at the
British swimming pools in Hong Kong
that said ""No Ghurka's allowed."""|speech|COL. DOMINIQUE EVERHART|?
218|BOND|"Nothing like a little imperialism to
promote loyalty among the faithful."|speech|BOND|M
219||(stifles a smile, then:)|location||
220|COL. DOMINIQUE EVERHART|"In conclusion: Both these men have a
vendetta against the world. They are
nuclear armed, and dangerous. And
having failed to get the UZ35 through
the old opium route - the Khyber Pass
- it's NATO's belief that their next
attempt will be through Bulgaria -
where the NATO Nuclear Strike Force
will be there to stop them."|speech|COL. DOMINIQUE EVERHART|?
221|M|Thank you Colonel Everhart.|speech|M|M
222||(stands, turns to:)|location||
223|M|"007, I'd like to see you in my office.
Why don't you and the Colonel exchange
numbers if you need more information?"|speech|M|M
224|BOND|Yes, M.|speech|BOND|M
225||"M exits. Bond approaches Dominique. She smiles, warmly. There's a
mutual attraction - but there's something else going on, unspoken."|stage direction||
226|BOND|Interesting presentation.|speech|BOND|M
227|DOMINIQUE|Interesting video tape.|speech|DOMINIQUE|F
228|BOND|They point, I shoot.|speech|BOND|M
229||(feels her pockets)|location||
230|DOMINIQUE|"Do you have a pen? I just got promoted
and don't have my new cards yet."|speech|DOMINIQUE|F
231|BOND|Of course.|speech|BOND|M
232||Bond hands her a PEN. She regards it cautiously.|stage direction||
233|DOMINIQUE|... Does this do anything?|speech|DOMINIQUE|F
234|BOND|Depends what number you write.|speech|BOND|M
235||She gives him a wry look; starts to write. He notes her WEDDING BAND.|stage direction||
236|BOND|Married?|speech|BOND|M
237|DOMINIQUE|Happily.|speech|DOMINIQUE|F
238|BOND|... Kids?|speech|BOND|M
239|DOMINIQUE|Three. You? Married?|speech|DOMINIQUE|F
240|BOND|No.|speech|BOND|M
241||(smiles)|location||
242|DOMINIQUE|I didn't think so.|speech|DOMINIQUE|F
243||"For an instant, something crosses Bond's face: Bittersweetness? Re-
morse? Either way, she's scored a subtle victory."|stage direction||
244|DOMINIQUE|"Here. I gave you my assistant's
phone number. If it's urgent, she
knows where to reach me."|speech|DOMINIQUE|F
245|BOND|Thanks.|speech|BOND|M
246||(beat, holding her gaze)|location||
247|BOND|Take care -|speech|BOND|M
248|DOMINIQUE|You too.|speech|DOMINIQUE|F
249||With a Sphinx-like smile, she watches Bond leave.|stage direction||
250||INT. HALLWAY OUTSIDE OF CONFERENCE ROOM - CONTINUOUS|location||
251||Where Bond encounters MONEYPENNY, also walking to M's office.|stage direction||
252|BOND|"Moneypenny! We've got to stop meeting
like this. They may be on to us."|speech|BOND|M
253|MONEYPENNY|Hello, James. Enjoy your meeting?|speech|MONEYPENNY|F
254|BOND|"In the darkest moments, it's what I
live for. Especially since I've
heard how much you like to watch...
On the hidden camera."|speech|BOND|M
255||"Moneypenny cuts Bond a look - and, in the background, sees Dominique
leave the conference room, and walk down the hall, away from them."|stage direction||
256|MONEYPENNY|"By the way, James: Ordinarily I would
never ask, but... Weren't you and
that Colonel once stranded on a raft
for two weeks in the Sargasso Sea?"|speech|MONEYPENNY|F
257|BOND|"Moneypenny! How indiscreet! Have
you ever known me to kiss and tell?"|speech|BOND|M
258||They've come to a security door. She punches in a code -|stage direction||
